size_sqft,bedrooms,age_years,distance_to_center,price
1500,3,10,5.2,250000
1800,4,5,3.1,320000
1200,2,15,8.5,180000
2200,4,2,2.0,420000
1000,2,20,10.0,150000
1650,3,8,4.5,280000
2000,4,3,1.5,380000
1400,3,12,6.0,230000
1750,3,6,3.8,300000
900,1,25,12.0,120000
2500,5,1,1.0,500000
1300,2,18,7.5,190000
1900,4,4,2.5,350000
1100,2,22,9.0,160000
2100,4,7,3.0,390000
1550,3,9,5.0,265000
1950,4,5,2.8,360000
1350,3,14,6.5,220000
1700,3,7,4.0,290000
850,1,30,15.0,100000
2300,5,2,1.2,450000
1450,3,11,5.5,245000
1850,4,4,2.2,340000
1150,2,16,8.0,175000
2050,4,6,2.8,400000
1600,3,10,4.8,275000
1250,2,19,7.8,185000
2400,5,3,1.3,480000
1050,2,21,9.5,155000
1800,3,8,3.5,310000
1500,3,13,6.2,255000
2150,4,4,2.3,410000
950,2,24,11.0,135000
1700,4,6,3.2,305000
1400,3,15,6.8,235000
2000,4,5,2.6,375000
1200,2,17,8.2,170000
1900,4,3,2.0,355000
1650,3,9,4.2,285000
2250,5,2,1.1,460000
1100,2,20,9.2,165000
1750,4,7,3.6,315000
1350,3,12,5.8,225000
2100,4,4,2.4,395000
1550,3,11,5.3,270000
1950,4,6,2.7,365000
1000,2,23,10.5,145000
1800,4,5,3.0,330000
1450,3,14,6.3,250000
2200,5,3,1.8,435000
